[21/05/2013 18:40:25] /reload monster
[21/05/2013 18:40:44] /m nidaime
[21/05/2013 18:43:41] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:51] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:52] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:53] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:54] /addskill testando, level
[21/05/2013 18:43:55] /addskill testando, level
[21/05/2013 18:43:55] /addskill testando, level
[21/05/2013 18:43:55] /addskill testando, level
[21/05/2013 18:43:55] /addskill testando, level
[21/05/2013 18:43:55] /addskill testando, level
[21/05/2013 18:43:56] /addskill testando, level
[21/05/2013 18:43:56] /addskill testando, level
[21/05/2013 18:43:56] /addskill testando, level
[21/05/2013 18:43:56] /addskill testando, level
[21/05/2013 18:43:57] /addskill testando, level
[21/05/2013 18:43:57] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:58] /addskill testando, level
[21/05/2013 18:43:59] /addskill testando, level
[21/05/2013 18:43:59] /addskill testando, level
[21/05/2013 18:43:59] /addskill testando, level
[21/05/2013 18:44:00] /addskill testando, level
[21/05/2013 18:44:00] /addskill testando, magic
[21/05/2013 18:44:00] /addskill testando, magic
[21/05/2013 18:44:00] /addskill testando, magic
[21/05/2013 18:44:01] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:02] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:03] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:04] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:05] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:06] /addskill testando, magic
[21/05/2013 18:44:07] /addskill testando, magic
[21/05/2013 18:44:07] /addskill testando, magic
[21/05/2013 18:44:18] /i hashirama armor
[21/05/2013 18:45:04] /m orochimaru
[21/05/2013 18:45:34] /m jya boss
[21/05/2013 18:46:16] /attr vocation 17
[21/05/2013 18:47:18] /m sasuke
[21/05/2013 18:48:03] /m akatsuki
[21/05/2013 18:48:51] /i sasuke sword
[21/05/2013 18:49:01] /attr set attack 1000
[21/05/2013 18:49:43] /r
[21/05/2013 18:49:47] /r
[21/05/2013 18:49:51] /m sasori
[21/05/2013 18:53:20] /m severium snake
[21/05/2013 18:53:53] /m yoth
[21/05/2013 18:54:18] /m anko
[21/05/2013 18:56:26] /m anbu
[21/05/2013 18:57:14] /m gamaguren
[21/05/2013 18:57:33] /m giant fear
[22/05/2013 01:22:36] /reload monster
[22/05/2013 01:22:59] /reload monster
[22/05/2013 01:23:15] /m cobra
[22/05/2013 01:41:04] /reload spells
[22/05/2013 01:42:00] /reload spells
[22/05/2013 01:42:40] /reload spells
[22/05/2013 01:47:21] /m gennin
[22/05/2013 01:50:26] /m black anbu
[22/05/2013 01:51:55] /m black anbu
[22/05/2013 01:53:21] /m black anbu
[22/05/2013 01:56:22] /reload monster
[22/05/2013 01:56:35] /m gennin
[22/05/2013 01:56:37] /m chunnin
[22/05/2013 17:16:41] /attr vocation 6
[22/05/2013 17:17:00] /m trainer
[22/05/2013 17:17:31] /r
[22/05/2013 17:18:40] /m black anbu
[22/05/2013 17:19:54] /attr vocation 17
[22/05/2013 17:19:56] /attr vocation 21
[22/05/2013 17:23:00] /reload creature script
[22/05/2013 17:23:09] /m black anbu
[22/05/2013 17:23:41] /reload creature script
[22/05/2013 17:23:42] /m black anbu
[22/05/2013 17:24:59] /m black anbu
[22/05/2013 17:25:48] /m gennin
[22/05/2013 18:50:44] /i 2272
[22/05/2013 18:56:35] /i 2193
[22/05/2013 19:00:50] /i 2193
[22/05/2013 19:01:05] /m trainer
[22/05/2013 19:01:38] /reload actions
[22/05/2013 19:03:16] /reload actions
[22/05/2013 19:03:18] /i 2193
[22/05/2013 19:03:31] /reload actions
[22/05/2013 19:04:10] /reload actions
[22/05/2013 19:04:47] /reload actions
[22/05/2013 19:05:56] /reload actions
[22/05/2013 19:07:36] /reload actions
[22/05/2013 19:07:42] /i 2193
[22/05/2013 19:07:44] /i 2193
[22/05/2013 19:08:18] /reload actions
[22/05/2013 19:09:04] /reload actions
[22/05/2013 19:13:16] /reload actions
[22/05/2013 19:13:47] /reload actions
[22/05/2013 19:14:31] /reload actions
[22/05/2013 19:14:57] /reload actions
[22/05/2013 19:14:58] /i 2193
[22/05/2013 19:15:15] /i 2193
[22/05/2013 19:15:43] /reload actions
[23/05/2013 01:09:04] /reload npc
[23/05/2013 01:09:13] /n minaru
[23/05/2013 01:10:02] /reload npc
[23/05/2013 01:12:46] /reload npc
[23/05/2013 12:13:00] /i 2193
[23/05/2013 12:17:30] /name gustavo ehgay, Gustavo Cu Sujo
[23/05/2013 12:17:36] /r
[23/05/2013 12:19:10] /i 2193
[23/05/2013 12:19:26] /reload actions
[23/05/2013 12:20:07] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:08] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:09] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:10] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
[23/05/2013 12:20:11] /addskill gustavo cu sujo, level
