[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:55] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:56] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:57] /a 10
[1/3/2021 0:29:58] /a 10
[1/3/2021 0:37:55] /goto hyro
[1/3/2021 0:38:33] /down
[1/3/2021 0:38:35] /a 2
[1/3/2021 0:38:36] /a 2
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:39] /a 30
[1/3/2021 0:38:41] /a 30
[1/3/2021 0:38:44] /a 30
[1/3/2021 1:22:53] /goto tsunade senju
[1/3/2021 1:22:53] /goto tsunade senju
[1/3/2021 1:22:54] /goto tsunade senju
[1/3/2021 1:22:55] /goto tsunade senju
[1/3/2021 1:22:55] /goto tsunade senju
[1/3/2021 1:22:56] /goto tsunade senju
[1/3/2021 1:22:57] /goto tsunade senju
[1/3/2021 1:22:57] /goto tsunade senju
[1/3/2021 1:22:58] /goto tsunade senju
[1/3/2021 1:22:58] /goto tsunade senju
[1/3/2021 1:23:18] /goto descanso
[1/3/2021 1:29:39] /goto tsunade senju
[1/3/2021 1:29:41] /goto tsunade senju
[1/3/2021 1:29:42] /goto tsunade senju
[1/3/2021 1:29:43] /goto tsunade senju
[1/3/2021 1:29:44] /goto tsunade senju
[1/3/2021 1:29:44] /goto tsunade senju
[1/3/2021 1:29:45] /goto tsunade senju
[1/3/2021 1:29:46] /goto tsunade senju
[1/3/2021 1:29:46] /goto tsunade senju
[1/3/2021 1:29:47] /goto tsunade senju
[1/3/2021 1:29:48] /goto tsunade senju
[1/3/2021 1:29:49] /goto tsunade senju
[1/3/2021 1:29:50] /goto tsunade senju
[1/3/2021 1:29:50] /goto tsunade senju
[1/3/2021 1:29:51] /goto tsunade senju
[1/3/2021 1:29:52] /goto tsunade senju
[1/3/2021 1:29:53] /goto tsunade senju
[1/3/2021 1:30:3] /goto weapon specialist
[1/3/2021 1:30:8] /goto weapon specialist
[1/3/2021 1:30:9] /goto weapon specialist
[1/3/2021 1:30:9] /goto weapon specialist
[1/3/2021 1:30:12] /goto weapon specialist
[1/3/2021 1:30:15] /goto weapon specialist
[1/3/2021 1:30:17] /goto weapon specialist
[1/3/2021 1:30:20] /goto weapon specialist
[1/3/2021 1:30:22] /goto weapon specialist
[1/3/2021 1:30:28] /goto weapon specialist
[1/3/2021 1:30:32] /goto weapon specialist
[1/3/2021 1:30:38] /goto weapon specialist
[1/3/2021 1:30:43] /goto weapon specialist
[1/3/2021 1:30:46] /goto weapon specialist
[1/3/2021 1:30:49] /goto weapon specialist
[1/3/2021 1:31:10] /t
[1/3/2021 1:31:45] /goto tsunade senju
[1/3/2021 1:31:47] /goto tsunade senju
[1/3/2021 1:31:48] /goto tsunade senju
[1/3/2021 1:31:48] /goto tsunade senju
[1/3/2021 1:31:49] /goto tsunade senju
[1/3/2021 1:31:50] /goto tsunade senju
[1/3/2021 1:31:51] /goto tsunade senju
[1/3/2021 1:31:52] /goto tsunade senju
[1/3/2021 1:31:53] /goto tsunade senju
[1/3/2021 1:31:54] /goto tsunade senju
[1/3/2021 1:31:56] /goto tsunade senju
[1/3/2021 1:31:57] /goto tsunade senju
[1/3/2021 1:31:58] /goto tsunade senju
[1/3/2021 1:31:59] /goto tsunade senju
[1/3/2021 1:32:0] /goto tsunade senju
[1/3/2021 1:32:0] /goto tsunade senju
[1/3/2021 1:32:1] /goto tsunade senju
[1/3/2021 1:32:2] /goto tsunade senju
[1/3/2021 1:32:3] /goto tsunade senju
[1/3/2021 1:32:4] /goto tsunade senju
[1/3/2021 1:32:5] /goto tsunade senju
[1/3/2021 1:32:6] /goto tsunade senju
[1/3/2021 1:32:7] /goto tsunade senju
[1/3/2021 1:32:7] /goto tsunade senju
[1/3/2021 1:32:8] /goto tsunade senju
[1/3/2021 1:32:9] /goto tsunade senju
[1/3/2021 1:32:10] /goto tsunade senju
[1/3/2021 1:32:10] /goto tsunade senju
[1/3/2021 1:32:11] /goto tsunade senju
[1/3/2021 1:32:12] /goto tsunade senju
[1/3/2021 1:33:30] /goto tsunade senju
[1/3/2021 1:33:35] /goto tsunade senju
[1/3/2021 1:33:38] /goto tsunade senju
[1/3/2021 1:33:39] /goto tsunade senju
[1/3/2021 1:33:40] /goto tsunade senju
[1/3/2021 1:33:42] /goto tsunade senju
[1/3/2021 1:33:44] /goto tsunade senju
[1/3/2021 1:33:45] /goto tsunade senju
[1/3/2021 1:33:48] /goto tsunade senju
[1/3/2021 1:33:58] /goto tsunade senju
[1/3/2021 1:33:59] /goto tsunade senju
[1/3/2021 1:34:0] /goto tsunade senju
[1/3/2021 1:34:1] /goto tsunade senju
[1/3/2021 1:34:5] /goto tsunade senju
[1/3/2021 1:34:12] /goto tsunade senju
[1/3/2021 1:34:12] /goto tsunade senju
[1/3/2021 1:34:13] /goto tsunade senju
[1/3/2021 1:34:15] /goto tsunade senju
[1/3/2021 1:34:16] /goto tsunade senju
[1/3/2021 1:34:19] /goto tsunade senju
[1/3/2021 1:34:20] /goto tsunade senju
[1/3/2021 1:34:22] /goto tsunade senju
[1/3/2021 1:34:23] /goto tsunade senju
[1/3/2021 1:34:24] /goto tsunade senju
[1/3/2021 1:34:35] /goto tsunade senju
[1/3/2021 1:34:37] /goto tsunade senju
[1/3/2021 1:34:37] /goto tsunade senju
[1/3/2021 1:34:39] /goto tsunade senju
[1/3/2021 1:34:40] /goto tsunade senju
[1/3/2021 1:34:41] /goto tsunade senju
[1/3/2021 1:34:42] /goto tsunade senju
[1/3/2021 1:34:43] /goto tsunade senju
[1/3/2021 1:34:43] /goto tsunade senju
[1/3/2021 1:34:44] /goto tsunade senju
[1/3/2021 1:34:45] /goto tsunade senju
[1/3/2021 1:34:46] /goto tsunade senju
[1/3/2021 1:34:47] /goto tsunade senju
[1/3/2021 1:34:48] /goto tsunade senju
[1/3/2021 1:34:49] /goto tsunade senju
[1/3/2021 1:34:50] /goto tsunade senju
[1/3/2021 1:34:51] /goto tsunade senju
[1/3/2021 1:34:51] /goto tsunade senju
[1/3/2021 1:34:52] /goto tsunade senju
[1/3/2021 1:34:53] /goto tsunade senju
[1/3/2021 1:34:54] /goto tsunade senju
[1/3/2021 1:34:55] /goto tsunade senju
[1/3/2021 1:34:56] /goto tsunade senju
[1/3/2021 1:34:56] /goto tsunade senju
[1/3/2021 1:34:57] /goto tsunade senju
[1/3/2021 1:34:58] /goto tsunade senju
[1/3/2021 1:34:59] /goto tsunade senju
[1/3/2021 1:35:0] /goto tsunade senju
[1/3/2021 1:35:1] /goto tsunade senju
[1/3/2021 1:35:2] /goto tsunade senju
[1/3/2021 1:35:3] /goto tsunade senju
[1/3/2021 1:35:5] /goto tsunade senju
[1/3/2021 1:35:6] /goto tsunade senju
[1/3/2021 1:35:15] /goto tsunade senju
[1/3/2021 1:35:16] /goto tsunade senju
[1/3/2021 1:35:17] /goto tsunade senju
[1/3/2021 1:35:18] /goto tsunade senju
[1/3/2021 1:35:19] /goto tsunade senju
[1/3/2021 1:35:21] /goto tsunade senju
[1/3/2021 1:35:22] /goto tsunade senju
[1/3/2021 1:35:23] /goto tsunade senju
[1/3/2021 1:35:24] /goto tsunade senju
[1/3/2021 1:35:25] /goto tsunade senju
[1/3/2021 1:35:26] /goto tsunade senju
[1/3/2021 1:35:26] /goto tsunade senju
[1/3/2021 1:35:27] /goto tsunade senju
[1/3/2021 1:35:28] /goto tsunade senju
[1/3/2021 1:35:29] /goto tsunade senju
[1/3/2021 1:35:30] /goto tsunade senju
[1/3/2021 1:35:31] /goto tsunade senju
[1/3/2021 1:35:32] /goto tsunade senju
[1/3/2021 1:35:33] /goto tsunade senju
[1/3/2021 1:35:35] /goto tsunade senju
[1/3/2021 1:35:36] /goto tsunade senju
[1/3/2021 1:35:37] /goto tsunade senju
[1/3/2021 1:35:40] /goto tsunade senju
[1/3/2021 1:35:41] /goto tsunade senju
[1/3/2021 1:35:42] /goto tsunade senju
[1/3/2021 1:35:43] /goto tsunade senju
[1/3/2021 1:35:43] /goto tsunade senju
[1/3/2021 1:35:44] /goto tsunade senju
[1/3/2021 1:35:45] /goto tsunade senju
[1/3/2021 1:35:46] /goto tsunade senju
[1/3/2021 1:35:47] /goto tsunade senju
[1/3/2021 1:35:48] /goto tsunade senju
[1/3/2021 1:35:49] /goto tsunade senju
[1/3/2021 1:35:49] /goto tsunade senju
[1/3/2021 1:35:51] /goto tsunade senju
[1/3/2021 1:35:52] /goto tsunade senju
[1/3/2021 1:35:53] /goto tsunade senju
[1/3/2021 1:35:54] /goto tsunade senju
[1/3/2021 1:35:55] /goto tsunade senju
[1/3/2021 1:35:56] /goto tsunade senju
[1/3/2021 1:36:1] /goto tsunade senju
[1/3/2021 1:36:3] /goto tsunade senju
[1/3/2021 1:36:6] /t
[1/3/2021 1:36:29] /goto tsunade senju
[1/3/2021 1:36:32] /goto tsunade senju
[1/3/2021 1:36:33] /goto tsunade senju
[1/3/2021 1:36:34] /goto tsunade senju
[1/3/2021 1:36:35] /goto tsunade senju
[1/3/2021 1:36:36] /goto tsunade senju
[1/3/2021 1:36:37] /goto tsunade senju
[1/3/2021 1:36:37] /goto tsunade senju
[1/3/2021 1:36:38] /goto tsunade senju
[1/3/2021 1:36:39] /goto tsunade senju
[1/3/2021 1:36:40] /goto tsunade senju
[1/3/2021 1:36:41] /goto tsunade senju
[1/3/2021 1:36:41] /goto tsunade senju
[1/3/2021 1:36:42] /goto tsunade senju
[1/3/2021 1:36:43] /goto tsunade senju
[1/3/2021 1:36:44] /goto tsunade senju
[1/3/2021 1:36:45] /goto tsunade senju
[1/3/2021 1:36:46] /goto tsunade senju
[1/3/2021 1:36:46] /goto tsunade senju
[1/3/2021 1:36:47] /goto tsunade senju
[1/3/2021 1:36:48] /goto tsunade senju
[1/3/2021 1:36:49] /goto tsunade senju
[1/3/2021 1:36:50] /goto tsunade senju
[1/3/2021 1:36:52] /goto tsunade senju
[1/3/2021 1:36:54] /goto tsunade senju
[1/3/2021 1:36:56] /goto tsunade senju
[1/3/2021 1:36:56] /goto tsunade senju
[1/3/2021 1:37:2] /goto tsunade senju
[1/3/2021 1:37:6] /goto tsunade senju
[1/3/2021 1:37:29] /goto tsunade senju
[1/3/2021 1:37:30] /goto tsunade senju
[1/3/2021 1:37:32] /goto tsunade senju
[1/3/2021 1:37:33] /goto tsunade senju
[1/3/2021 1:37:37] /goto tsunade senju
[1/3/2021 1:37:41] /goto tsunade senju
[1/3/2021 1:37:42] /goto tsunade senju
[1/3/2021 1:37:43] /goto tsunade senju
[1/3/2021 1:37:44] /goto tsunade senju
[1/3/2021 1:37:45] /goto tsunade senju
[1/3/2021 1:37:46] /goto tsunade senju
[1/3/2021 1:37:47] /goto tsunade senju
[1/3/2021 1:37:48] /goto tsunade senju
[1/3/2021 1:37:49] /goto tsunade senju
[1/3/2021 1:37:50] /goto tsunade senju
[1/3/2021 1:37:51] /goto tsunade senju
[1/3/2021 1:37:51] /goto tsunade senju
[1/3/2021 1:37:52] /goto tsunade senju
[1/3/2021 1:37:53] /goto tsunade senju
[1/3/2021 1:37:54] /goto tsunade senju
[1/3/2021 1:37:54] /goto tsunade senju
[1/3/2021 1:37:55] /goto tsunade senju
[1/3/2021 1:37:56] /goto tsunade senju
[1/3/2021 1:37:57] /goto tsunade senju
[1/3/2021 1:37:58] /goto tsunade senju
[1/3/2021 1:37:59] /goto tsunade senju
[1/3/2021 1:38:1] /goto tsunade senju
[1/3/2021 1:38:2] /goto tsunade senju
[1/3/2021 1:38:3] /goto tsunade senju
[1/3/2021 1:38:4] /goto tsunade senju
[1/3/2021 1:38:5] /goto tsunade senju
[1/3/2021 1:38:6] /goto tsunade senju
[1/3/2021 1:38:7] /goto tsunade senju
[1/3/2021 1:38:8] /goto tsunade senju
[1/3/2021 1:38:9] /goto tsunade senju
[1/3/2021 1:38:10] /goto tsunade senju
[1/3/2021 1:38:11] /goto tsunade senju
[1/3/2021 1:38:12] /goto tsunade senju
[1/3/2021 1:38:13] /goto tsunade senju
[1/3/2021 1:38:14] /goto tsunade senju
[1/3/2021 1:38:16] /goto tsunade senju
[1/3/2021 1:38:17] /goto tsunade senju
[1/3/2021 1:38:19] /goto tsunade senju
[1/3/2021 1:38:24] /goto tsunade senju
[1/3/2021 1:38:28] /goto tsunade senju
[1/3/2021 1:42:50] /t
[1/3/2021 1:44:9] /a 50
[1/3/2021 1:44:10] /a 50
[1/3/2021 1:44:11] /a 50
[1/3/2021 1:44:13] /a 50
[1/3/2021 1:44:14] /a 50
[1/3/2021 1:44:16] /a 50
[1/3/2021 1:44:18] /a 10
[1/3/2021 1:44:18] /a 10
[1/3/2021 1:44:24] /ghost
[1/3/2021 1:44:30] /newtype 30
[1/3/2021 1:45:33] /i kage gloves 
[1/3/2021 1:46:46] /i 11507
[1/3/2021 1:48:22] /newtype 34
[1/3/2021 1:48:47] /i kage gloves raiton
[1/3/2021 1:48:49] /i kage gloves suiton
[1/3/2021 1:48:50] /i kage gloves doton
[1/3/2021 1:48:52] /i kage gloves katon
[1/3/2021 1:49:7] /i kage gloves fuuton
[1/3/2021 1:49:13] /i kage gloves chakra
[1/3/2021 1:50:30] /i kage kunai
[1/3/2021 1:50:43] /i kage kunai katon
[1/3/2021 1:50:46] /i kage kunai fuuton
[1/3/2021 1:50:51] /i kage kunai raiton
[1/3/2021 1:50:53] /i kage kunai suiton
[1/3/2021 1:51:0] /i kage kunai chakra
[1/3/2021 1:51:6] /i kage kunai doton
[1/3/2021 1:53:35] /goto shukaku
[1/3/2021 1:53:43] /m shukaku
[1/3/2021 1:53:46] /m shukaku
[1/3/2021 1:53:48] /m shukaku
[1/3/2021 1:53:50] /m shukaku
[1/3/2021 1:53:53] /m shukaku
[1/3/2021 1:53:55] /m shukaku
[1/3/2021 1:53:57] /m shukaku
[1/3/2021 1:53:59] /m shukaku
[1/3/2021 1:54:2] /m shukaku
[1/3/2021 1:54:4] /m shukaku
[1/3/2021 1:54:6] /m shukaku
[1/3/2021 1:54:9] /m shukaku
[1/3/2021 1:54:12] /m shukaku
[1/3/2021 1:54:14] /m shukaku
[1/3/2021 1:54:17] /m shukaku
[1/3/2021 1:54:21] /m shukaku
[1/3/2021 1:54:23] /m shukaku
[1/3/2021 1:54:26] /m shukaku
[1/3/2021 1:54:29] /m shukaku
[1/3/2021 1:54:32] /m shukaku
[1/3/2021 1:54:34] /m shukaku
[1/3/2021 1:54:36] /m shukaku
[1/3/2021 1:54:44] /r
[1/3/2021 1:54:44] /r
[1/3/2021 1:54:44] /r
[1/3/2021 1:54:45] /r
[1/3/2021 1:54:45] /r
[1/3/2021 1:54:45] /r
[1/3/2021 1:54:45] /r
[1/3/2021 1:54:46] /r
[1/3/2021 1:54:46] /r
[1/3/2021 1:54:46] /r
[1/3/2021 1:54:47] /r
[1/3/2021 1:54:47] /r
[1/3/2021 1:54:48] /r
[1/3/2021 1:54:48] /r
[1/3/2021 1:54:48] /r
[1/3/2021 1:54:48] /r
[1/3/2021 1:54:49] /r
[1/3/2021 1:54:50] /r
[1/3/2021 1:54:50] /r
[1/3/2021 1:54:50] /r
[1/3/2021 1:54:50] /r
[1/3/2021 1:54:51] /r
[1/3/2021 1:54:52] /r
[1/3/2021 1:54:52] /r
[1/3/2021 1:54:52] /r
[1/3/2021 1:54:53] /r
[1/3/2021 1:54:53] /r
[1/3/2021 1:54:53] /r
[1/3/2021 1:54:53] /r
[1/3/2021 1:54:54] /r
[1/3/2021 1:54:54] /r
[1/3/2021 1:54:55] /r
[1/3/2021 1:54:55] /r
[1/3/2021 1:54:55] /r
[1/3/2021 1:54:55] /r
[1/3/2021 1:54:55] /r
[1/3/2021 1:54:56] /r
[1/3/2021 1:55:12] /t
[1/3/2021 1:56:22] /ghost
[1/3/2021 2:2:47] /goto Koutukey Teu Kou
[1/3/2021 2:4:49] /goto Koutukey Teu Kou
[1/3/2021 2:6:25] /reload monster
[1/3/2021 2:6:30] /goto black anbu
[1/3/2021 2:7:1] /goto black anbu
[1/3/2021 2:7:9] /goto black anbu
[1/3/2021 2:7:10] /goto black anbu
[1/3/2021 2:7:10] /goto black anbu
[1/3/2021 2:8:24] /goto Koutukey Teu Kou
[1/3/2021 2:8:51] /goto black anbu
[1/3/2021 2:8:52] /goto black anbu
[1/3/2021 2:8:54] /goto black anbu
[1/3/2021 2:11:49] /goto black anbu
[1/3/2021 2:11:50] /goto black anbu
[1/3/2021 2:11:51] /t
[1/3/2021 2:45:1] /goto Koutukey Teu Kou
[1/3/2021 2:45:6] /a 2
[1/3/2021 2:46:1] /goto Koutukey Teu Kou
[1/3/2021 2:46:7] /goto Koutukey Teu Kou
[1/3/2021 2:46:12] /t
[1/3/2021 2:46:33] /goto Koutukey Teu Kou
[1/3/2021 2:52:14] /i distance box
[1/3/2021 2:53:29] /i distance box
[1/3/2021 2:53:29] /i distance box
[1/3/2021 2:55:14] /goto tsunade senju
[1/3/2021 2:55:15] /goto tsunade senju
[1/3/2021 2:55:16] /goto tsunade senju
[1/3/2021 2:55:17] /goto tsunade senju
[1/3/2021 2:55:20] /goto tsunade senju
[1/3/2021 2:55:21] /goto tsunade senju
[1/3/2021 2:55:22] /goto tsunade senju
[1/3/2021 2:56:13] /goto kazekage gaara
[1/3/2021 2:57:23] /goto Koutuka Teu Kou
[1/3/2021 2:57:31] /goto Koutuka Teu Kou
[1/3/2021 2:57:32] /goto Koutuka Teu Kou
[1/3/2021 2:57:35] /goto Koutuka Teu Kou
[1/3/2021 2:57:36] /goto Koutuka Teu Kou
[1/3/2021 2:57:37] /goto Koutuka Teu Kou
[1/3/2021 3:0:44] /goto Koutuka Teu Kou
[1/3/2021 3:0:55] /goto boxer
[1/3/2021 3:0:58] /t
[1/3/2021 3:2:12] /goto Koutuka Teu Kou
[1/3/2021 3:2:16] /goto Koutuka Teu Kou
[1/3/2021 3:2:18] /goto Koutuka Teu Kou
[1/3/2021 3:2:19] /goto Koutuka Teu Kou
[1/3/2021 3:2:21] /goto Koutuka Teu Kou
[1/3/2021 3:2:22] /goto Koutuka Teu Kou
[1/3/2021 3:2:23] /goto Koutuka Teu Kou
[1/3/2021 3:2:24] /goto Koutuka Teu Kou
[1/3/2021 3:2:25] /goto Koutuka Teu Kou
[1/3/2021 3:2:30] /goto Koutuka Teu Kou
[1/3/2021 3:5:43] /t
[1/3/2021 3:8:22] /goto tutor
[1/3/2021 3:8:33] /goto unknow
[1/3/2021 3:8:39] /goto unknow
[1/3/2021 3:8:45] /goto unknow
[1/3/2021 3:9:0] /goto unknow 
[1/3/2021 3:9:4] /goto unknow 
[1/3/2021 3:9:9] /goto unknow 
[1/3/2021 3:9:13] /goto unknow 
[1/3/2021 3:9:17] /goto unknow 
[1/3/2021 3:9:22] /goto unknow 
[1/3/2021 3:9:25] /goto unknow 
[1/3/2021 3:14:20] /goto kazekage gaara
[1/3/2021 3:23:48] /goto raikage
[1/3/2021 3:24:23] /ghost
[1/3/2021 3:29:15] /t
[1/3/2021 3:29:17] /ghost
[1/3/2021 3:33:43] /goto kazekage gaara
[1/3/2021 3:35:48] /goto premium task
[1/3/2021 3:39:1] /m white shaolin
[1/3/2021 3:39:1] /m white shaolin
[1/3/2021 3:39:2] /m white shaolin
[1/3/2021 3:39:2] /m white shaolin
[1/3/2021 3:39:2] /m white shaolin
[1/3/2021 3:39:2] /m white shaolin
[1/3/2021 3:39:3] /m white shaolin
[1/3/2021 3:41:23] /goto kazekage gaara
[1/3/2021 3:46:19] /goto kazekage gaar
[1/3/2021 3:46:21] /goto kazekage gaara
[1/3/2021 3:50:9] /goto unknow
[1/3/2021 3:50:12] /goto kazekage gaara
[1/3/2021 3:50:34] /goto kazekage gaara
[1/3/2021 3:50:58] /goto kazekage gaara
[1/3/2021 3:53:55] /goto kazekage gaara
[1/3/2021 4:3:59] /goto kazekage gaara
[1/3/2021 4:14:37] /goto tsunade senju
[1/3/2021 4:15:8] /attr action 1150
[1/3/2021 4:42:3] /t
[1/3/2021 4:43:21] /i 1025
[1/3/2021 4:43:23] /i 1025
[1/3/2021 4:43:25] /i 1025
[1/3/2021 4:43:41] /t
[1/3/2021 4:46:11] /goto tsunade senju
[1/3/2021 5:2:58] /t
[1/3/2021 22:16:33] /t
[1/3/2021 22:16:40] /a 20
[1/3/2021 22:16:41] /a 20
[1/3/2021 22:16:41] /a 20
[1/3/2021 22:16:42] /a 20
[1/3/2021 22:16:43] /a 20
[1/3/2021 22:16:44] /a 20
[1/3/2021 22:16:44] /a 20
[1/3/2021 22:16:45] /a 20
[1/3/2021 22:16:45] /a 20
[1/3/2021 22:16:46] /a 20
[1/3/2021 22:16:46] /a 20
[1/3/2021 22:16:57] /goto Play stompdmg
[1/3/2021 22:18:10] /goto playdesakura
[1/3/2021 22:19:58] /goto hades
[1/3/2021 22:20:5] /goto hades
[1/3/2021 22:20:9] /goto hades
[1/3/2021 22:20:12] /goto hades
[1/3/2021 22:20:13] /goto hades
[1/3/2021 22:20:15] /goto hades
[1/3/2021 22:20:16] /goto hades
[1/3/2021 22:20:17] /goto hades
[1/3/2021 22:20:18] /goto hades
[1/3/2021 22:20:20] /goto hades
[1/3/2021 22:20:21] /goto hades
[1/3/2021 22:20:22] /goto hades
[1/3/2021 22:20:23] /goto hades
[1/3/2021 22:20:24] /goto hades
[1/3/2021 22:20:25] /goto hades
[1/3/2021 22:20:25] /goto hades
[1/3/2021 22:20:26] /goto hades
[1/3/2021 22:20:27] /goto hades
[1/3/2021 22:20:27] /goto hades
[1/3/2021 22:20:34] /goto hades
[1/3/2021 22:20:35] /goto hades
[1/3/2021 22:20:36] /goto hades
[1/3/2021 22:20:37] /goto hades
[1/3/2021 22:20:38] /goto hades
[1/3/2021 22:20:38] /goto hades
[1/3/2021 22:24:45] /t
[1/3/2021 22:44:36] /b Vilarejo esta open!
[1/3/2021 22:44:37] /b Vilarejo esta open!
[1/3/2021 22:44:37] /b Vilarejo esta open!
[1/3/2021 22:44:37] /b Vilarejo esta open!
[1/3/2021 22:44:37] /b Vilarejo esta open!
[1/3/2021 22:44:38] /t
[1/3/2021 22:56:20] /goto raikage
[1/3/2021 22:57:17] /t
[1/3/2021 22:59:4] /a 10
[1/3/2021 22:59:5] /a 10
[1/3/2021 22:59:5] /a 10
[1/3/2021 22:59:6] /a 10
[1/3/2021 22:59:6] /a 10
[1/3/2021 22:59:8] /a 10
[1/3/2021 22:59:11] /up
[1/3/2021 22:59:11] /up
[1/3/2021 23:2:11] /goto tsunade senju
[1/3/2021 23:2:12] /goto tsunade senju
[1/3/2021 23:2:19] /goto tsunade senju
[1/3/2021 23:2:23] /goto tsunade senju
[1/3/2021 23:2:24] /goto tsunade senju
[1/3/2021 23:2:25] /goto tsunade senju
[1/3/2021 23:2:26] /goto tsunade senju
[1/3/2021 23:2:27] /goto tsunade senju
[1/3/2021 23:2:28] /goto tsunade senju
[1/3/2021 23:2:29] /goto tsunade senju
[1/3/2021 23:2:30] /goto tsunade senju
[1/3/2021 23:2:32] /goto tsunade senju
[1/3/2021 23:2:33] /goto tsunade senju
[1/3/2021 23:2:34] /goto tsunade senju
[1/3/2021 23:2:35] /goto tsunade senju
[1/3/2021 23:2:36] /goto tsunade senju
[1/3/2021 23:2:36] /goto tsunade senju
[1/3/2021 23:2:37] /goto tsunade senju
[1/3/2021 23:2:38] /goto tsunade senju
[1/3/2021 23:2:39] /goto tsunade senju
[1/3/2021 23:2:40] /goto tsunade senju
[1/3/2021 23:5:19] /goto tsunade senju
[1/3/2021 23:6:5] /b Estarei verificando os emails!
[1/3/2021 23:6:8] /b Estarei verificando os emails!
[1/3/2021 23:6:12] /goto tsunade senju
[1/3/2021 23:11:40] /t
[1/3/2021 23:28:44] /goto tsunade senju
[1/3/2021 23:32:32] /goto tsunade senju
[1/3/2021 23:33:51] /goto tsunade senju
[1/3/2021 23:33:55] /goto tsunade senju
[1/3/2021 23:39:40] /b Quem foi o sortudo que ganhou na Loteria 100 Golds? rs
[2/3/2021 0:0:53] !missao
[2/3/2021 0:3:56] /reload global
[2/3/2021 0:4:4] /reload globalevents
[2/3/2021 0:4:33] /goto musk
[2/3/2021 0:7:48] /t
[2/3/2021 0:8:58] /goto musk
[2/3/2021 0:11:48] /goto Leo Uchiha
[2/3/2021 0:12:0] /goto Origamii Naa Face
[2/3/2021 0:18:39] /b Formulario de Tutor esta no Discord!!!
[2/3/2021 0:48:7] /goto sasuke boss
[2/3/2021 0:53:50] /goto play stompdmg
[2/3/2021 0:54:16] /goto play stompdmg
[2/3/2021 0:54:56] /goto Uchiha sem olho
[2/3/2021 0:55:10] /a 40
[2/3/2021 0:55:11] /a 40
[2/3/2021 0:55:12] /a 40
[2/3/2021 0:55:13] /a 40
[2/3/2021 0:55:14] /a 40
[2/3/2021 0:55:15] /a 40
[2/3/2021 0:55:17] /a 40
[2/3/2021 0:55:19] /a 20
[2/3/2021 0:55:21] /a 10
[2/3/2021 0:55:36] /up
[2/3/2021 0:55:43] /c uchiha sem olho
[2/3/2021 0:55:49] /ghost
[2/3/2021 0:55:53] /ghost
[2/3/2021 0:56:46] /ghost
[2/3/2021 1:2:56] /r
[2/3/2021 1:2:57] /r
[2/3/2021 1:24:4] /i gunbai
[2/3/2021 1:24:10] /t uchiha sem olho
[2/3/2021 2:27:41] /ghost
[2/3/2021 2:27:42] /t
[2/3/2021 2:37:27] /b Quer se tornar um [TUTOR] ? preencha o formulario que se encontra na sala do discord ( Importante ), e aguarde a resposta.
